method,N,dt_obs,seed,mean_forecast_rmse,mean_analysis_rmse,median_analysis_rmse,analysis_improvement,r_mae,r_corr,innovation_mean,innovation_variance
fixed,10,0.05,1,4.30637379708788,4.275676668472789,4.855463977058408,0.030697128615090996,0.44327086900779644,,-0.09094197985906373,21.617707205435256
adaptive,10,0.05,1,4.020929256867667,3.991164479973467,4.546514750609219,0.029764776894200207,0.41608076831946306,0.40909242085388126,0.10874172437704303,19.815963228508014
oracle,10,0.05,1,3.848246361091064,3.8126831527177103,4.310951205803916,0.035563208373353916,0.0,1.0,-0.06191788183785719,18.658094811668406
fixed,10,0.1,1,3.8249356114494906,3.7779549045851932,4.421599786894647,0.04698070686429734,0.4406408471566618,,0.05430603106513647,18.116602391734435
adaptive,10,0.1,1,4.019611192755124,3.9551300788108126,4.554324338849742,0.06448111394431155,0.3481988207571634,0.5469829098973862,-0.05004470339388763,19.451252477610574
oracle,10,0.1,1,4.051811206254043,3.9993896161549767,4.692521790387387,0.05242159009906633,0.0,1.0,0.009474502445679097,20.2433902538588
fixed,10,0.2,1,3.7985991388789997,3.6859750322039835,4.342163521090331,0.11262410667501621,0.4363208388512043,,0.06844444306981144,17.936258478316596
adaptive,10,0.2,1,3.813958052553803,3.6877754578104125,4.3085469836876635,0.12618259474339055,0.4145791436440016,0.2956443736143181,-0.04554413326999081,18.266609629322968
oracle,10,0.2,1,4.249037569831672,4.102575203032938,4.5259290612163365,0.14646236679873414,0.0,0.9999999999999999,-0.15668116936108026,21.938760396207247
fixed,20,0.05,1,3.2271339488680737,3.1865242871804433,3.8274166032991412,0.04060966168763036,0.44327086900779644,,-0.06591159324977805,14.170795070511728
adaptive,20,0.05,1,3.2393008484034045,3.1928428776314153,3.8423607596995932,0.04645797077198921,0.3166700654737469,0.5538239615807148,0.021338285359972016,13.594509883847072
oracle,20,0.05,1,3.403806328253823,3.3607030410452086,3.976745903272156,0.04310328720861456,0.0,1.0,0.07717243613853719,15.18019477859977
fixed,20,0.1,1,3.5272731436905365,3.446467251320811,4.221784843467371,0.08080589236972546,0.4406408471566618,,0.0006587558581090761,16.41786709281541
adaptive,20,0.1,1,3.505051800468441,3.414102972525267,3.9940244774409233,0.0909488279431736,0.38749328994935467,0.4579803598325523,0.00910385363492181,16.28983621825394
oracle,20,0.1,1,3.574202903392629,3.4793583202060914,4.238041094787291,0.09484458318653743,0.0,1.0,0.10166795451600842,16.612267462077153
fixed,20,0.2,1,3.7449122108972706,3.550152615280177,4.185446339217666,0.19475959561709377,0.4363208388512043,,0.09641173388465887,17.980282494815068
adaptive,20,0.2,1,3.5776324288464094,3.380211369561988,3.9258478838484714,0.19742105928442122,0.3788590714839227,0.6205345175198899,-0.015931907354115676,16.41970275049975
oracle,20,0.2,1,3.4649704497859193,3.2625886788269782,3.7411422167445854,0.20238177095894105,0.0,0.9999999999999999,0.08822739974414316,15.49959979104894
fixed,40,0.05,1,2.083382243536477,2.0390104472139874,1.4517015123764594,0.044371796322489665,0.44327086900779644,,0.00866987498180767,7.959556582372898
adaptive,40,0.05,1,1.4735383840120844,1.4220968218770123,0.6258331762947041,0.051441562135072116,0.345417343445085,0.5865561162098348,0.0026837842846188158,4.899875592755638
oracle,40,0.05,1,1.2937215381128826,1.2478700937398484,0.5419952834556733,0.045851444373034234,0.0,1.0,-0.06690632948559994,4.297869257314864
fixed,40,0.1,1,2.181302462859834,2.0591851477198184,1.4569362108352244,0.12211731514001567,0.4406408471566618,,0.001338467487951198,8.629889841839955
adaptive,40,0.1,1,1.633554289869836,1.5134876522711618,0.7116921559821978,0.12006663759867431,0.39767538573672456,0.37354541854192036,0.01876241112366001,5.54147899852529
oracle,40,0.1,1,1.263396562791269,1.1606623462473469,0.5007655210019832,0.10273421654392223,0.0,1.0,0.00015564842288471017,4.503076253151075
fixed,40,0.2,1,2.736942483019951,2.4158962296007545,2.6276061797959365,0.3210462534191967,0.4363208388512043,,-0.029139534735040492,10.897721736658694
adaptive,40,0.2,1,1.2279370854661924,1.0036069609441562,0.6302330736352826,0.22433012452203616,0.4198185557564554,0.25483020952552554,0.02948517155559697,3.3472990113800054
oracle,40,0.2,1,1.4549096522346476,1.2132613309146956,0.5705354637558802,0.24164832131995206,0.0,0.9999999999999999,0.03437448017811519,4.643477295820943
