method,N,dt_obs,seed,mean_forecast_rmse,mean_analysis_rmse,median_analysis_rmse,analysis_improvement,r_mae,r_corr,innovation_mean,innovation_variance
fixed,10,0.05,1,4.652313652081871,4.6261679181145965,4.928666549658858,0.026145733967274154,0.44437628264621987,,-0.04636291449903592,23.96837406148033
adaptive,10,0.05,1,4.625308345237338,4.597885759683659,5.054403621332437,0.027422585553678935,0.45310355626122517,0.12853851991717813,0.006394083527672032,24.117577683086093
oracle,10,0.05,1,4.389347999258698,4.357989611551808,4.738895860130738,0.0313583877068897,0.0,0.9999999999999999,-0.022632344099848097,22.132006816874952
fixed,10,0.1,1,4.410877453660761,4.366621811193023,4.693087912966127,0.04425564246773739,0.4428330901773417,,-0.005967217587586699,22.263812004339048
adaptive,10,0.1,1,4.525014939220543,4.464677643777208,4.789299908076491,0.06033729544333433,0.41002073955381285,0.278760736876616,-0.07003216734703019,23.07489570202736
oracle,10,0.1,1,4.480196215951918,4.429011239255119,4.788481131543178,0.05118497669679911,0.0,1.0,0.0018417330110047645,22.853326116628004
fixed,10,0.2,1,4.226576777405336,4.122047121896033,4.52135973920571,0.10452965550930315,0.4406408471566618,,0.10587019243471585,20.790760331953393
adaptive,10,0.2,1,4.073462229798541,3.955281406520978,4.333066767548693,0.11818082327756319,0.42690356805543006,0.2214715920830359,0.1169137119717704,19.3381597649323
oracle,10,0.2,1,4.69102551991389,4.547393400371823,4.906645418832987,0.14363211954206712,0.0,0.9999999999999999,-0.11499368482604799,24.990972227695323
fixed,20,0.05,1,3.9250035678589126,3.8845289967028256,4.324771094734347,0.04047457115608699,0.44437628264621987,,-0.11958120223651499,18.324884854419786
adaptive,20,0.05,1,3.9636345334457417,3.921371585402584,4.351588486103978,0.04226294804315778,0.4022472560497002,0.33630544754775443,0.05516197729711976,18.432099511084722
oracle,20,0.05,1,4.118178151114773,4.077482237941129,4.338975623797815,0.04069591317364374,0.0,0.9999999999999999,0.08124868259835143,19.94477724390474
fixed,20,0.1,1,4.085197965644198,4.00438941666257,4.352591151258911,0.08080854898162837,0.4428330901773417,,0.053439789846876015,19.799661351326353
adaptive,20,0.1,1,4.100665340764443,4.012745608403898,4.468782073453052,0.08791973236054496,0.39348776714142125,0.3926291285611216,0.01397158993126637,19.90409836218149
oracle,20,0.1,1,4.244471696536029,4.154279645536213,4.5568232000780515,0.09019205099981598,0.0,1.0,-0.029478734796144233,21.01653049976267
fixed,20,0.2,1,4.37851794694484,4.18129263957964,4.559162940474752,0.1972253073652004,0.4406408471566618,,0.08763611412897365,22.34541685494092
adaptive,20,0.2,1,4.168595450875388,3.9730641113078846,4.395379399850303,0.1955313395675038,0.43236118867109197,0.2806355023377569,0.049442835776567585,20.465023915925123
oracle,20,0.2,1,4.132388322229176,3.936095885785708,4.2467038095638605,0.1962924364434686,0.0,0.9999999999999999,-0.01246844277270728,20.22950649074339
fixed,40,0.05,1,3.332875134710804,3.282774769906613,3.796015460546745,0.05010036480419089,0.44437628264621987,,-0.022974207967902047,15.15405448126183
adaptive,40,0.05,1,2.98338874912871,2.934576136977653,3.641285948994026,0.04881261215105681,0.4052237498154335,0.36965939529625996,0.0339230798548065,13.226794276602703
oracle,40,0.05,1,3.105289288130521,3.05727575156553,3.7519325821567366,0.04801353656499119,0.0,0.9999999999999999,-0.006157452328969455,14.872545723808171
fixed,40,0.1,1,3.3799306561348743,3.263701581776459,4.041324428328632,0.11622907435841512,0.4428330901773417,,0.03864609814026805,15.53097449075123
adaptive,40,0.1,1,3.175944290404695,3.0525182519472875,3.794812963557795,0.1234260384574073,0.40997634546485767,0.29140366175620785,-0.11370781204178033,14.48981802578775
oracle,40,0.1,1,2.91882828112347,2.805749868684385,3.7216659065579303,0.1130784124390849,0.0,1.0,-0.044743966775017144,13.52218613237258
fixed,40,0.2,1,3.650967056146663,3.3422885270955294,3.703517168928206,0.3086785290511336,0.4406408471566618,,-0.025259082519736624,16.82277888636849
adaptive,40,0.2,1,2.755649433381833,2.4967284040006588,2.52188704714068,0.25892102938117434,0.4399969036152608,0.11237912290065728,0.026530304086197873,11.806324915150899
oracle,40,0.2,1,2.9034926147850024,2.635771879180379,3.2521052036811127,0.2677207356046236,0.0,0.9999999999999999,-0.03904980859162583,12.692215875298967
fixed,10,0.05,2,4.627372290624851,4.604589268020266,4.883284030116436,0.022783022604584424,0.44437628264621987,,-0.05480192941867142,23.736783940652156
adaptive,10,0.05,2,4.365688180976308,4.339510965437336,4.658902948370033,0.02617721553897212,0.4121776256193206,0.2573653396937241,0.07001522797821998,21.47938743793118
oracle,10,0.05,2,4.341088558896084,4.314283510343179,4.5131342123167935,0.02680504855290522,0.0,0.9999999999999999,0.06247950873738687,20.856175631211293
fixed,10,0.1,2,4.493321938408581,4.441947299481456,4.768397638364415,0.05137463892712457,0.4428330901773417,,0.07809385870570652,22.827187658503924
adaptive,10,0.1,2,4.233645773293243,4.188287328115999,4.678258884833693,0.045358445177243745,0.4620815047902222,-0.051008110858717357,0.04620662642469195,20.74307146526106
oracle,10,0.1,2,4.500216210626859,4.453382081706299,4.620498152761845,0.04683412892056005,0.0,1.0,0.055489395873860994,22.305825711809746
fixed,10,0.2,2,4.494016980392972,4.388848282342851,4.598732042416922,0.10516869805012163,0.4406408471566618,,0.04729941111273843,22.628692805549214
adaptive,10,0.2,2,4.631873009112071,4.516942898414337,4.942296737014564,0.11493011069773384,0.4452924821008297,0.13632516981873,-0.05523585065109701,23.815904278500376
oracle,10,0.2,2,4.460232210013902,4.3455079543651856,4.683353689881346,0.11472425564871624,0.0,0.9999999999999999,0.019593256928249463,22.20183121016323
fixed,20,0.05,2,4.230674918158789,4.188403356149055,4.761341259280197,0.042271562009733366,0.44437628264621987,,-0.02047484695998047,21.356807776489116
adaptive,20,0.05,2,3.8881156632615883,3.8470683460951407,4.267239115177806,0.041047317166447606,0.44783297734166533,0.11298046543933589,0.019619182990282737,17.796507918007187
oracle,20,0.05,2,4.153464262426842,4.112711141067615,4.647464625956258,0.04075312135922626,0.0,0.9999999999999999,0.039105338732172853,20.62801455481616
fixed,20,0.1,2,4.128864753596904,4.046656338716737,4.419343344604872,0.08220841488016717,0.4428330901773417,,0.023236496111876736,19.85977496421625
adaptive,20,0.1,2,4.189321874180966,4.10443503481754,4.368948248666056,0.08488683936342678,0.3800304745083924,0.4509342067421244,-0.02001187963708825,20.27698043879686
oracle,20,0.1,2,4.244866115003506,4.1575126053973435,4.582771493220833,0.08735350960616284,0.0,1.0,-0.0230206899899954,20.8987832111154
fixed,20,0.2,2,4.377257862108672,4.1878237790473,4.599993539546011,0.18943408306137144,0.4406408471566618,,0.07502295894838726,21.837936389902154
